"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Ventura County, California!!Estimate","Ventura County, California!!Margin of Error"
"        Bus","6,648","±915","3,903","±598","45,773","±2,078","3,526","±395","525,023","±5,639","60,707","±2,029","37,031","±1,555","7,515","±712","44,764","±2,116","135,869","±3,773","64,570","±2,539","37,851","±1,747","4,886","±462","207,752","±4,295","21,775","±1,374","13,748","±989","5,690","±605","17,860","±1,271","19,992","±1,307","2,717","±428","108,027","±2,400","106,555","±2,907","56,454","±2,167","83,119","±2,008","2,832","±421","29,488","±1,422","3,665","±476","5,957","±641","40,589","±1,729","4,432","±629","239,326","±4,044","7,824","±808","495,096","±5,656","39,862","±1,802","1,952","±372","74,993","±2,231","5,989","±623","58,759","±2,205","204,478","±3,940","7,959","±874","10,140","±960","1,984","±356","16,825","±1,245","141,676","±3,709","19,081","±1,095","3,568","±479","77,406","±2,882","183,669","±3,762","5,270","±695","43,199","±1,481","2,733","±450","6,198","±614","2,988","±488"
"        Subway or elevated rail","54","±44","8","±16","1,149","±235","117","±79","198,976","±3,499","7,862","±614","2,731","±430","429","±208","73,225","±1,836","9,464","±890","24,041","±1,291","91","±51","72","±57","191,157","±3,652","1,366","±292","171","±124","187","±103","85","±60","205","±115","177","±95","95,590","±2,481","161,303","±3,089","858","±217","2,860","±386","67","±81","2,041","±331","6","±6","46","±41","262","±120","230","±90","89,204","±2,699","61","±39","1,659,163","±11,464","2,631","±445","51","±45","2,220","±361","99","±71","6,487","±668","49,462","±1,885","385","±127","459","±199","2","±5","258","±126","8,336","±828","2,410","±388","229","±97","73,740","±1,886","8,086","±806","313","±147","227","±99","0","±29","2,635","±369","180","±96"
"        Long-distance train or commuter rail","59","±58","29","±45","519","±190","66","±59","77,897","±2,308","4,851","±508","36,724","±1,162","1,733","±299","971","±231","6,008","±753","3,414","±590","19","±13","91","±74","135,787","±2,700","3,914","±462","15","±15","33","±29","90","±62","79","±50","215","±98","20,497","±1,126","60,782","±2,094","402","±118","2,739","±373","233","±290","863","±275","29","±46","59","±42","79","±81","694","±186","116,101","±2,900","798","±162","242,113","±3,939","933","±240","41","±42","596","±138","103","±71","2,748","±431","51,951","±1,584","3,187","±386","370","±222","0","±23","987","±263","9,606","±833","7,316","±612","51","±27","15,963","±1,071","10,667","±785","408","±123","1,154","±220","0","±29","66","±65","782","±171"
"        Light rail, streetcar or trolley (carro público in Puerto Rico)","127","±82","5","±7","3,035","±513","66","±66","29,447","±1,539","8,381","±715","457","±133","182","±106","574","±216","2,089","±478","1,349","±395","54","±52","34","±34","4,520","±639","377","±140","123","±78","64","±46","84","±57","1,163","±198","45","±43","2,053","±310","5,511","±545","394","±173","4,644","±485","23","±27","980","±245","3","±7","90","±72","106","±73","181","±162","11,104","±1,042","41","±41","7,846","±881","2,484","±420","34","±36","933","±200","254","±152","10,956","±962","9,066","±845","59","±49","257","±331","7","±8","355","±133","6,118","±753","4,891","±620","1","±2","1,074","±216","6,361","±854","6","±15","142","±68","45","±52","5,736","±578","19","±21"
"        Ferryboat","72","±46","302","±92","283","±145","175","±130","12,155","±748","372","±152","490","±290","87","±66","35","±48","1,150","±367","613","±269","162","±129","59","±50","609","±215","376","±167","221","±86","220","±85","173","±102","429","±297","437","±130","479","±140","3,578","±491","533","±152","330","±96","180","±116","174","±77","26","±27","104","±72","154","±91","109","±53","10,356","±669","72","±60","14,116","±1,085","718","±340","47","±24","449","±182","111","±67","271","±108","621","±213","157","±95","497","±181","53","±68","256","±157","1,089","±272","132","±76","28","±36","601","±169","9,596","±809","88","±52","168","±72","34","±24","442","±189","29","±40"
"    Taxicab","917","±195","1,386","±308","6,093","±1,008","905","±309","36,638","±1,564","3,002","±588","3,266","±524","384","±211","3,882","±529","24,400","±1,752","17,673","±1,728","686","±204","686","±274","19,253","±1,379","3,281","±440","1,560","±396","1,063","±359","1,424","±243","2,416","±570","761","±181","10,056","±882","9,785","±789","6,287","±655","3,937","±451","576","±218","2,876","±520","347","±129","645","±216","1,947","±372","522","±156","18,203","±1,347","259","±116","63,021","±2,425","6,401","±702","238","±116","6,780","±710","1,273","±253","2,259","±443","9,487","±863","860","±450","3,208","±481","209","±91","2,453","±477","12,928","±1,105","653","±225","257","±105","10,154","±969","4,336","±600","218","±103","3,813","±461","202","±105","1,088","±299","325","±115"
"    Motorcycle","1,891","±313","403","±98","11,020","±825","1,443","±291","52,947","±1,876","4,339","±454","1,309","±246","437","±137","551","±178","22,916","±1,529","5,547","±524","3,668","±425","1,796","±369","4,285","±459","3,024","±365","1,925","±297","2,112","±295","1,527","±280","2,079","±333","784","±230","2,129","±339","1,874","±352","3,565","±453","2,676","±333","1,074","±274","3,296","±594","732","±192","917","±168","3,579","±423","660","±147","1,802","±335","1,816","±366","7,062","±760","5,190","±534","440","±161","4,437","±662","2,574","±308","3,784","±577","5,188","±599","230","±89","2,389","±374","638","±153","2,270","±324","16,832","±1,066","3,686","±491","234","±80","5,453","±593","8,669","±796","254","±86","3,571","±362","447","±165","706","±208","1,076","±217"
"    Bicycle","1,950","±386","2,843","±364","23,235","±1,641","2,349","±368","153,669","±3,510","31,729","±1,591","4,227","±580","1,221","±291","16,012","±1,151","53,759","±2,460","10,339","±1,007","5,427","±549","6,860","±724","36,027","±1,479","11,964","±749","6,395","±541","4,916","±540","3,496","±419","9,249","±873","2,085","±327","9,237","±603","28,658","±1,214","18,212","±1,069","17,710","±1,014","1,110","±244","5,772","±600","5,847","±637","3,368","±487","4,114","±458","1,814","±336","12,004","±1,068","4,945","±595","66,582","±2,278","8,019","±729","1,412","±307","15,327","±1,053","4,179","±421","39,013","±1,851","28,902","±1,285","1,735","±367","4,738","±492","1,503","±371","3,805","±473","32,124","±1,631","8,680","±699","2,468","±486","15,719","±1,124","28,253","±1,497","1,004","±278","17,175","±1,010","2,303","±331","1,859","±357","1,717","±293"
"    Walked","23,265","±1,414","26,789","±1,136","58,666","±2,332","21,187","±1,281","461,980","±5,600","81,786","±2,382","47,218","±2,143","9,552","±802","47,319","±1,599","132,932","±3,518","71,450","±2,610","32,330","±1,315","20,055","±1,234","173,791","±3,833","66,390","±2,119","49,204","±1,456","32,188","±1,259","41,798","±1,672","36,886","±1,808","24,233","±1,095","64,877","±2,223","170,570","±3,524","99,941","±2,505","75,115","±2,231","16,558","±1,129","55,142","±2,208","23,670","±1,102","24,840","±1,049","22,901","±1,505","18,117","±1,296","113,944","±2,853","17,157","±1,166","548,517","±5,804","84,397","±2,587","12,812","±729","118,884","±2,515","30,002","±1,343","70,406","±2,107","211,881","±4,120","16,452","±951","44,903","±1,849","15,504","±778","38,932","±1,640","203,246","±3,374","35,471","±1,667","16,735","±997","99,528","±2,902","129,086","±3,659","20,172","±1,125","85,414","±2,319","10,499","±920","26,406","±1,443","6,597","±691"
"    Other means","14,338","±967","12,684","±604","38,638","±2,448","10,084","±1,091","198,331","±3,894","23,636","±1,183","13,617","±1,080","3,107","±481","4,797","±962","119,441","±4,197","53,866","±2,337","11,553","±1,063","6,605","±807","51,206","±1,860","22,938","±1,298","10,907","±687","10,647","±978","19,137","±1,350","23,955","±1,463","4,921","±570","27,764","±1,711","34,755","±1,767","29,782","±1,396","19,961","±1,263","16,166","±1,115","22,443","±1,155","4,316","±485","6,704","±551","22,084","±1,378","5,607","±633","51,220","±1,769","7,258","±715","65,768","±2,609","44,248","±2,719","3,398","±526","39,649","±1,684","16,277","±797","16,731","±1,386","51,949","±2,218","4,083","±691","22,643","±1,486","2,962","±372","28,354","±1,457","147,507","±4,127","9,932","±956","2,541","±437","42,631","±1,759","32,048","±1,566","7,088","±713","18,925","±1,165","2,116","±378","13,684","±1,142","1,845","±324"
"    Worked from home","92,836","±3,309","21,184","±1,087","282,334","±5,295","56,546","±2,161","1,529,697","±14,098","315,209","±5,428","135,763","±3,769","32,327","±1,823","46,472","±2,634","742,035","±7,239","376,570","±6,960","40,786","±1,556","62,558","±2,611","442,549","±6,304","172,758","±4,881","101,440","±2,709","91,460","±2,907","104,126","±2,674","85,038","±2,957","53,686","±2,266","247,223","±5,085","292,852","±5,191","272,113","±4,794","248,449","±4,043","37,284","±1,445","189,865","±4,598","41,108","±1,633","59,472","±2,066","80,997","±2,665","59,287","±2,250","316,373","±6,720","56,580","±2,265","634,197","±8,308","370,874","±6,576","20,933","±1,081","332,962","±6,068","92,204","±2,437","186,004","±4,151","433,801","±6,522","28,982","±1,432","129,911","±3,958","29,766","±1,184","194,404","±4,412","936,065","±11,453","138,218","±3,282","29,134","±1,295","341,184","±5,962","326,515","±4,738","33,353","±1,636","190,187","±3,040","17,424","±1,414","30,717","±1,547","33,354","±1,945"
